Query sequence,Sample name,Otu.95,Most common phylum-level assignment,Phylum-level assignment,Most common class-level assignment,Class-level assignment,Most common order-level assignment,Order-level assignment,Most common family-level assignment,Family-level assignment,Most common Genus-level assignment,Genus-level assignment,Taxon assignment,Likelihood weight,otu,otu_references
M12_Otu96,M12,Otu96,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.110587, 0.068289, 0.066343, 0.061727, 0.061378, 0.056067, 0.054808, 0.044938, 0.025850, 0.024849, 0.018897",OTU877,
M12_Otu977,M12,Otu977,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Westerdykella,Westerdykella,Westerdykella_cylindrica,"0.209187, 0.181416, 0.051112, 0.051063, 0.048932, 0.048323, 0.047632, 0.047217, 0.034425, 0.033824, 0.033372",OTU1048,
M12_Otu98,M12,Otu98,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Patellariales,"Patellariales,Hysteriales",unclassified,"unclassified,Hysteriaceae",Hysteropatella,"Hysteropatella,Hysterium","Hysteropatella_clavispora,Hysterium_pulicare,Hysteropatella_elliptica","0.163925, 0.031828, 0.028286, 0.028286, 0.028286, 0.028286, 0.028286, 0.028280, 0.028279, 0.027048, 0.023779",OTU40,
M12_Otu980,M12,Otu980,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Cucurbitariaceae,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis,Pyrenochaetopsis_leptospora,0.998906,OTU342,
M12c_Otu899,M12c,Otu899,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.120257, 0.061547, 0.054256, 0.053402, 0.053401, 0.049314, 0.040348, 0.040213, 0.039975, 0.038407, 0.038406",OTU705,
M21_Otu1074,M21,Otu1074,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Microdochiaceae,"Microdochiaceae,unclassified",Microdochium,Microdochium,"Microdochium_colombiense,Microdochium_bolleyi,Microdochium_trichocladiopsis,Microdochium_phragmitis,Microdochium_tainanense,Microdochium_neoqueenslandicum,Microdochium_nivale,Microdochium_citrinidiscum","0.872916, 0.025745, 0.017352, 0.011692, 0.011164, 0.007795, 0.007795",OTU1039,
M21_Otu1083,M21,Otu1083,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.708654, 0.095573, 0.035488, 0.018428, 0.011439, 0.010866, 0.009718, 0.009693, 0.008507, 0.007805, 0.007078",OTU426,
M21_Otu1097,M21,Otu1097,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.032104, 0.031584, 0.023753, 0.022928, 0.022921, 0.022921, 0.022921, 0.022921, 0.022921, 0.022916, 0.022916",OTU1041,
M21_Otu110,M21,Otu110,Ascomycota,Ascomycota,Orbiliomycetes,Orbiliomycetes,Orbiliales,Orbiliales,Orbiliaceae,Orbiliaceae,Arthrobotrys,"Arthrobotrys,Dactylellina,Drechslerella,Orbilia","Dactylellina_haptotyla,Arthrobotrys_elegans,Arthrobotrys_gephyropaga,Arthrobotrys_pyriformis,Arthrobotrys_superba,Drechslerella_dactyloides,Drechslerella_brochopaga,Dactylellina_ellipsospora,Orbilia_auricolor,Orbilia_vinosa,Arthrobotrys_conoides","0.204241, 0.204150, 0.204052, 0.061357, 0.034882, 0.033279, 0.031415, 0.020747, 0.014576, 0.014256, 0.012772",OTU160,
M21_Otu117,M21,Otu117,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Didymosphaeriaceae,"Didymosphaeriaceae,Testudinaceae",Didymosphaeria,"Didymosphaeria,Ulospora","Didymosphaeria_enalia,Ulospora_bilgramii","0.223368, 0.147365, 0.143586, 0.139652, 0.121491, 0.107829, 0.081182",OTU1,
