Query sequence,Sample name,Otu.95,Most common phylum-level assignment,Phylum-level assignment,Most common class-level assignment,Class-level assignment,Most common order-level assignment,Order-level assignment,Most common family-level assignment,Family-level assignment,Most common Genus-level assignment,Genus-level assignment,Taxon assignment,Likelihood weight,otu,otu_references
H11_Otu661,H11,Otu661,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Chaetothyriales,Chaetothyriales,Herpotrichiellaceae,Herpotrichiellaceae,Exophiala,Exophiala,Exophiala_nigra,1,OTU497,
H11_Otu662,H11,Otu662,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Sordariales,Sordariales,Sordariaceae,Sordariaceae,Sordaria,"Sordaria,Neurospora,Gelasinospora","Neurospora_crassa,Sordaria_macrospora,Gelasinospora_tetrasperma,Neurospora_pannonica,Sordaria_lappae,Sordaria_fimicola","0.542130, 0.095978, 0.082777, 0.041146, 0.039965, 0.037342, 0.034715, 0.031183, 0.031083, 0.030997",OTU498,
H11_Otu668,H11,Otu668,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,Kirschsteiniotheliaceae,Kirschsteiniotheliaceae,Kirschsteiniothelia,Kirschsteiniothelia,"Kirschsteiniothelia_aethiops,Kirschsteiniothelia_aethiops_1","0.389034, 0.238345, 0.238335, 0.031105, 0.013469, 0.013451, 0.009824, 0.009677, 0.006140, 0.006056",OTU22,
H11_Otu669,H11,Otu669,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Cordycipitaceae,Cordycipitaceae,Cordyceps,Cordyceps,Cordyceps_scarabaeicola,"0.769080, 0.055574, 0.055189, 0.046405, 0.046304",OTU503,
H11_Otu67,H11,Otu67,Ascomycota,Ascomycota,Arthoniomycetes,Arthoniomycetes,Arthoniales,Arthoniales,Roccellaceae,"Roccellaceae,Roccellographaceae,Chrysotrichaceae,Lecanographaceae",Roccella,"Roccella,Combea,Roccellographa,Simonyella,Opegrapha,Chrysothrix,Alyxoria","Roccella_montagnei,Roccella_fuciformis,Roccella_canariensis,Combea_mollusca,Roccellographa_cretacea,Simonyella_variegata,Roccella_tuberculata,Roccella_boergesenii,Opegrapha_dolomitica,Chrysothrix_caesia,Alyxoria_varia","0.060920, 0.059677, 0.057044, 0.056976, 0.056976, 0.056976, 0.056976, 0.056976, 0.056358, 0.053641, 0.053599",OTU903,
H11_Otu68,H11,Otu68,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Eurotiales,Eurotiales,Aspergillaceae,Aspergillaceae,Penicillium,Penicillium,"Penicillium_goetzii,Penicillium_sinaicum,Penicillium_viridicatum,Penicillium_polonicum,Penicillium_freii,Penicillium_biforme,Penicillium_kewense","0.077245, 0.077241, 0.077240, 0.077230, 0.077223, 0.077221, 0.077177, 0.077168, 0.076745, 0.076605, 0.076599",OTU1130,
H11_Otu688,H11,Otu688,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Helotiaceae,Helotiaceae,Crinula,Crinula,Crinula_caliciiformis,0.99604,OTU595,
H11_Otu717,H11,Otu717,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Sclerotiniaceae,Sclerotiniaceae,Monilinia,"Monilinia,Sclerotinia,Botrytis","Monilinia_fructigena,Sclerotinia_sclerotiorum,Monilinia_fructicola,Botrytis_cinerea,Monilinia_laxa","0.853361, 0.019261, 0.019226, 0.018528, 0.014376, 0.008636, 0.008473, 0.008131, 0.007806",OTU839,
H11_Otu72,H11,Otu72,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Clavicipitaceae,Clavicipitaceae,Moelleriella,Moelleriella,Moelleriella_libera,"0.904792, 0.021258, 0.020944, 0.001732, 0.001686",OTU329,
H11_Otu73,H11,Otu73,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Cucurbitariaceae,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis,Pyrenochaetopsis_leptospora,0.999475,OTU685,
H11_Otu754,H11,Otu754,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Didymosphaeriaceae,"Didymosphaeriaceae,Testudinaceae",Didymosphaeria,"Didymosphaeria,Ulospora","Didymosphaeria_enalia,Ulospora_bilgramii","0.160309, 0.159946, 0.159715, 0.057488, 0.055613, 0.048558, 0.044105, 0.043704, 0.038201, 0.022690, 0.012011",OTU1114,
H11_Otu770,H11,Otu770,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Amphisphaeriaceae,"Amphisphaeriaceae,Sporocadaceae",Pestalotiopsis,"Pestalotiopsis,Pseudopestalotiopsis","Pestalotiopsis_vismiae,Pseudopestalotiopsis_theae","0.381267, 0.357452, 0.261262",OTU404,
H11_Otu779,H11,Otu779,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.057622, 0.038801, 0.038466, 0.033136, 0.030867, 0.030854, 0.030854, 0.030854, 0.029426, 0.026768, 0.026201",OTU621,
H11_Otu791,H11,Otu791,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,unclassified,unclassified,Cyclaneusma,Cyclaneusma,Cyclaneusma_minus,"0.242946, 0.183921, 0.129259, 0.121503, 0.064006, 0.054642, 0.054642, 0.054566, 0.021299, 0.019656, 0.018229",OTU410,
H11_Otu797,H11,Otu797,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Patellariales,"Patellariales,Hysteriales",unclassified,"unclassified,Hysteriaceae",Hysteropatella,"Hysteropatella,Hysterium","Hysteropatella_clavispora,Hysterium_pulicare,Hysteropatella_elliptica","0.167690, 0.089135, 0.087431, 0.087172, 0.052167, 0.050704, 0.050704, 0.050704, 0.050704, 0.050704, 0.050692",OTU247,
H11_Otu798,H11,Otu798,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.182456, 0.180749, 0.177955, 0.175635, 0.166241, 0.023077, 0.017266, 0.008645, 0.008075, 0.008071, 0.007359",OTU983,
H11_Otu825,H11,Otu825,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,unclassified,unclassified,Cyclaneusma,Cyclaneusma,Cyclaneusma_minus,1,OTU510,
H11_Otu87,H11,Otu87,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,Kirschsteiniotheliaceae,Kirschsteiniotheliaceae,Kirschsteiniothelia,Kirschsteiniothelia,"Kirschsteiniothelia_aethiops,Kirschsteiniothelia_aethiops_1","0.279337, 0.225304, 0.224885, 0.036348, 0.021124, 0.021095, 0.015613, 0.010283, 0.010265, 0.010221, 0.009313",OTU993,
H11_Otu881,H11,Otu881,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Aureobasidiaceae,Aureobasidiaceae,Aureobasidium,Aureobasidium,"Aureobasidium_melanogenum,Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae","0.653793, 0.185295, 0.090499, 0.026901",OTU180,
H11_Otu882,H11,Otu882,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Planistromellaceae,"Planistromellaceae,Saccharataceae,Phyllostictaceae,Aplosporellaceae,Septorioideaceae",Kellermania,"Kellermania,Saccharata,Phyllosticta,Aplosporella,Septorioides","Kellermania_confusa,Kellermania_dasylirionicola,Aplosporella_prunicola,Phyllosticta_capitalensis,Phyllosticta_ampelicida,Saccharata_kirstenboschensis,Kellermania_nolinifoliorum,Kellermania_micranthae,Saccharata_hawaiiensis,Saccharata_capensis,Septorioides_pini-thunbergii","0.236880, 0.213162, 0.212837, 0.069917, 0.023931, 0.023904, 0.019814, 0.017190, 0.011853, 0.011800, 0.009295",OTU155,
H11_Otu883,H11,Otu883,Ascomycota,Ascomycota,Arthoniomycetes,Arthoniomycetes,Arthoniales,Arthoniales,Roccellaceae,"Roccellaceae,Roccellographaceae,Chrysotrichaceae,Lecanographaceae",Roccella,"Roccella,Combea,Roccellographa,Simonyella,Opegrapha,Chrysothrix,Alyxoria","Roccella_montagnei,Roccella_fuciformis,Roccella_canariensis,Combea_mollusca,Roccellographa_cretacea,Simonyella_variegata,Roccella_tuberculata,Roccella_boergesenii,Opegrapha_dolomitica,Chrysothrix_caesia,Alyxoria_varia","0.086290, 0.083788, 0.083667, 0.068123, 0.067424, 0.067424, 0.067424, 0.067422, 0.067418, 0.022202, 0.022109",OTU811,
H11_Otu888,H11,Otu888,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,Teratoramularia,Teratoramularia,"Teratoramularia_rumicicola,Teratoramularia_kirschneriana,Teratoramularia_infinita,Teratoramularia_persicariae","0.131137, 0.116890, 0.104291, 0.080286, 0.077704, 0.062156, 0.058417, 0.044368, 0.030930, 0.030813, 0.030786",OTU382,
H11_Otu9,H11,Otu9,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Aureobasidiaceae,Aureobasidiaceae,Aureobasidium,Aureobasidium,"Aureobasidium_melanogenum,Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae","0.356010, 0.185128, 0.174844, 0.149624, 0.127365",OTU886,
H11_Otu90,H11,Otu90,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.507776, 0.244237, 0.034478, 0.017540, 0.015626, 0.015174, 0.014494, 0.012626, 0.012171, 0.011412, 0.007663",OTU537,
H11_Otu91,H11,Otu91,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.232912, 0.145866, 0.139159, 0.084068, 0.066572, 0.054721, 0.045185, 0.037434, 0.018686, 0.015205, 0.014820",OTU453,
H11_Otu935,H11,Otu935,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,Coniochaeta,Coniochaeta,"Coniochaeta_velutina,Coniochaeta_africana,Coniochaeta_mutabilis,Coniochaeta_prunicola,Coniochaeta_hoffmannii,Coniochaeta_ligniaria,Coniochaeta_ostrea,Coniochaeta_lignicola","0.288305, 0.287408, 0.285876, 0.083621, 0.005727",OTU93,
H11_Otu981,H11,Otu981,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,unclassified,unclassified,Cyclaneusma,Cyclaneusma,Cyclaneusma_minus,0.978724,OTU1071,
H11c_Otu1200,H11c,Otu1200,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Phaeomoniellales,Phaeomoniellales,unclassified,unclassified,Celerioriella,"Celerioriella,Dolabra,Neophaeomoniella,Minutiella,Aequabiliella","Dolabra_nepheliae,Neophaeomoniella_zymoides,Minutiella_tardicola,Celerioriella_prunicola,Aequabiliella_effusa,Celerioriella_dura","0.809689, 0.056822, 0.026010, 0.023736, 0.022905, 0.022398",OTU136,
H11c_Otu698,H11c,Otu698,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Phaeomoniellales,Phaeomoniellales,unclassified,unclassified,Celerioriella,"Celerioriella,Dolabra,Neophaeomoniella,Minutiella,Aequabiliella","Dolabra_nepheliae,Neophaeomoniella_zymoides,Minutiella_tardicola,Celerioriella_prunicola,Aequabiliella_effusa,Celerioriella_dura",0.991223,OTU283,
H11c_Otu919,H11c,Otu919,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia,Biscogniauxia,Biscogniauxia_mediterranea,1,OTU792,
H12_Otu1004,H12,Otu1004,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Westerdykella,"Westerdykella,Preussia","Westerdykella_cylindrica,Preussia_minima","0.489509, 0.154067, 0.135143, 0.065654, 0.064038, 0.007834, 0.006696, 0.006237, 0.006086, 0.005764, 0.004186",OTU430,
H12_Otu1023,H12,Otu1023,Ascomycota,Ascomycota,Lecanoromycetes,Lecanoromycetes,Lecanorales,Lecanorales,Rhizocarpaceae,Rhizocarpaceae,Rhizocarpon,Rhizocarpon,Rhizocarpon_disporum,"0.171848, 0.131378, 0.128876, 0.127247, 0.126624, 0.046433, 0.031115, 0.030990, 0.030859, 0.019160, 0.016054",OTU301,
H12_Otu1044,H12,Otu1044,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,unclassified,unclassified,Kirschsteiniotheliaceae,Kirschsteiniotheliaceae,Kirschsteiniothelia,Kirschsteiniothelia,"Kirschsteiniothelia_aethiops,Kirschsteiniothelia_aethiops_1","0.439633, 0.204587, 0.202182, 0.013433, 0.010379, 0.006983, 0.006960, 0.005556, 0.005388, 0.005384, 0.005367",OTU394,
H12_Otu1052,H12,Otu1052,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Phaeomoniellales,Phaeomoniellales,unclassified,unclassified,Celerioriella,"Celerioriella,Dolabra,Neophaeomoniella,Minutiella,Aequabiliella","Dolabra_nepheliae,Neophaeomoniella_zymoides,Minutiella_tardicola,Celerioriella_prunicola,Aequabiliella_effusa,Celerioriella_dura","0.709458, 0.115824, 0.037543, 0.035232, 0.035173, 0.025408",OTU1096,
H12_Otu1057,H12,Otu1057,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Cucurbitariaceae,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis,Pyrenochaetopsis_leptospora,0.999733,OTU396,
H12_Otu1086,H12,Otu1086,Ascomycota,Ascomycota,Lichinomycetes,Lichinomycetes,Lichinales,Lichinales,Lichinaceae,Lichinaceae,Lempholemma,Lempholemma,Lempholemma_polyanthes,"0.066146, 0.063617, 0.040193, 0.040091, 0.039868, 0.031420, 0.027574, 0.027560, 0.027540, 0.025544, 0.021545",OTU100,
H12_Otu1097,H12,Otu1097,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,"Dothideales,unclassified",Dothideaceae,"Dothideaceae,Dothioraceae,unclassified",Dothidea,"Dothidea,Dothiora,unclassified,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Dothideomycetes_sp_TRN11,Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.032104, 0.031584, 0.023753, 0.022928, 0.022921, 0.022921, 0.022921, 0.022921, 0.022921, 0.022916, 0.022916",OTU1041,
H12_Otu1123,H12,Otu1123,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Patellariales,"Patellariales,Hysteriales",unclassified,"unclassified,Hysteriaceae",Hysteropatella,"Hysteropatella,Hysterium","Hysteropatella_clavispora,Hysterium_pulicare,Hysteropatella_elliptica","0.377877, 0.139744, 0.135666, 0.071529, 0.067192, 0.013767, 0.011598, 0.011598, 0.011598, 0.011598, 0.011598",OTU220,
H12_Otu118,H12,Otu118,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Aureobasidiaceae,Aureobasidiaceae,Aureobasidium,Aureobasidium,"Aureobasidium_melanogenum,Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae","0.346900, 0.200876, 0.147731, 0.145965, 0.136119",OTU351,
H12_Otu1191,H12,Otu1191,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Cucurbitariaceae,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis,Pyrenochaetopsis_leptospora,0.999841,OTU138,
H12_Otu1199,H12,Otu1199,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Amniculicolaceae,"Amniculicolaceae,unclassified,Testudinaceae,Delitschiaceae,-",Murispora,"Murispora,Massariosphaeria,Pseudomassariosphaeria,Lepidosphaeria,Delitschia,Hermatomyces","Murispora_medicaginicola,Murispora_cardui,Massariosphaeria_typhicola,Murispora_fagicola,Pseudomassariosphaeria_bromicola,Murispora_cicognanii,Lepidosphaeria_nicotiae,Murispora_galii,Murispora_hawksworthii,Delitschia_winteri,Hermatomyces_subiculosa","0.202241, 0.083226, 0.078805, 0.072438, 0.072368, 0.038419, 0.038012, 0.022508, 0.017915, 0.017606, 0.016337",OTU1097,
H12_Otu126,H12,Otu126,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Sporormiaceae,Sporormiaceae,Westerdykella,Westerdykella,Westerdykella_cylindrica,"0.365765, 0.310864, 0.309638",OTU353,
H12_Otu134,H12,Otu134,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Chaetothyriales,Chaetothyriales,unclassified,"unclassified,Trichomeriaceae",Neophaeococcomyces,"Neophaeococcomyces,Knufia,unclassified","Neophaeococcomyces_catenatus,Knufia_petricola,Chaetothyriales_sp_TRN4","0.273286, 0.252000, 0.241430, 0.063301, 0.043106, 0.031907, 0.031328, 0.008533, 0.006744",OTU468,
H12_Otu138,H12,Otu138,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Dothideaceae,"Dothideaceae,Dothioraceae",Dothidea,"Dothidea,Dothiora,Delphinella,Sydowia,Neocylindroseptoria,Stylodothis","Delphinella_strobiligena,Sydowia_polyspora,Dothiora_ceratoniae,Neocylindroseptoria_pistaciae,Stylodothis_puccinioides,Dothidea_ribesia,Dothidea_sambuci,Dothidea_hippophaeos,Dothidea_insculpta,Dothiora_cannabinae","0.500448, 0.198814, 0.143006, 0.045024, 0.039876, 0.037381",OTU271,
H12_Otu139,H12,Otu139,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Rhytismatales,Rhytismatales,Rhytismataceae,Rhytismataceae,Rhytisma,Rhytisma,Rhytisma_acerinum,"0.327506, 0.295104, 0.290739, 0.026863, 0.006051, 0.005128",OTU882,
H12_Otu141,H12,Otu141,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Venturiales,Venturiales,Sympoventuriaceae,Sympoventuriaceae,Ochroconis,"Ochroconis,Sympoventuria,Verruconis","Ochroconis_bacilliformis,Ochroconis_verrucosa,Sympoventuria_capensis,Ochroconis_tshawytschae,Ochroconis_humicola,Ochroconis_dracaenae,Ochroconis_globalis,Ochroconis_cordanae,Ochroconis_robusta,Ochroconis_phaeophora,Verruconis_gallopava","0.551251, 0.362660, 0.017308, 0.007446, 0.006873, 0.006135",OTU192,
H12_Otu142,H12,Otu142,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Pleosporaceae,Pleosporaceae,Curvularia,Curvularia,"Curvularia_pseudolunata,Curvularia_ischaemi,Curvularia_geniculata,Curvularia_hominis,Curvularia_coicis,Curvularia_heteropogonis,Curvularia_aeria,Curvularia_prasadii,Curvularia_chlamydospora,Curvularia_caricae-papayae,Curvularia_perotidis","0.703896, 0.146939, 0.034890, 0.031579, 0.022374, 0.021512",OTU267,
H12_Otu15,H12,Otu15,Ascomycota,Ascomycota,Arthoniomycetes,Arthoniomycetes,Arthoniales,Arthoniales,Roccellographaceae,Roccellographaceae,Roccellographa,Roccellographa,Roccellographa_cretacea,"0.174833, 0.047192, 0.042851, 0.042587, 0.035683, 0.035314, 0.028486, 0.027381, 0.025821, 0.025802, 0.024753",OTU803,
H12_Otu16,H12,Otu16,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,Zymoseptoria,"Zymoseptoria,Xenoramularia","Zymoseptoria_tritici,Xenoramularia_neerlandica","0.297051, 0.199546, 0.059633, 0.056906, 0.037916, 0.027604, 0.027529, 0.027529, 0.019986, 0.018109, 0.016577",OTU210,
H12_Otu165,H12,Otu165,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,Coniochaeta,Coniochaeta,"Coniochaeta_velutina,Coniochaeta_africana,Coniochaeta_mutabilis,Coniochaeta_prunicola,Coniochaeta_hoffmannii,Coniochaeta_ligniaria,Coniochaeta_lignicola","0.172030, 0.079416, 0.074490, 0.074463, 0.068197, 0.066608, 0.065622, 0.065618, 0.065614, 0.065537, 0.064522",OTU711,
H12_Otu188,H12,Otu188,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Dothideales,Dothideales,Aureobasidiaceae,Aureobasidiaceae,Aureobasidium,Aureobasidium,"Aureobasidium_melanogenum,Aureobasidium_pullulans,Aureobasidium_lini,Aureobasidium_namibiae","0.564844, 0.226296, 0.113025, 0.048291",OTU712,
H12_Otu192,H12,Otu192,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Phyllostictaceae,"Phyllostictaceae,Planistromellaceae,Aplosporellaceae",Phyllosticta,"Phyllosticta,Kellermania,Aplosporella","Kellermania_confusa,Phyllosticta_abieticola,Kellermania_dasylirionicola,Aplosporella_prunicola,Phyllosticta_ampelicida,Kellermania_nolinifoliorum,Kellermania_micranthae,Phyllosticta_beaumarisii,Phyllosticta_philoprina,Phyllosticta_capitalensis,Phyllosticta_elongata","0.315579, 0.311522, 0.304555, 0.011505, 0.007457",OTU183,
H12_Otu211,H12,Otu211,Ascomycota,Ascomycota,Geoglossomycetes,Geoglossomycetes,Geoglossales,Geoglossales,Geoglossaceae,Geoglossaceae,Geoglossum,"Geoglossum,Trichoglossum","Geoglossum_nigritum,Trichoglossum_hirsutum","0.163217, 0.048949, 0.043611, 0.036656, 0.035033, 0.034064, 0.029751, 0.027394, 0.025379, 0.024779, 0.024142",OTU88,
H12_Otu217,H12,Otu217,Ascomycota,Ascomycota,Orbiliomycetes,"Orbiliomycetes,unclassified",Orbiliales,"Orbiliales,unclassified",Orbiliaceae,"Orbiliaceae,unclassified",Arthrobotrys,"Arthrobotrys,Dactylellina,Orbilia,Drechslerella,Lecophagus","Dactylellina_haptotyla,Arthrobotrys_elegans,Arthrobotrys_gephyropaga,Arthrobotrys_pyriformis,Orbilia_auricolor,Arthrobotrys_superba,Drechslerella_dactyloides,Drechslerella_brochopaga,Dactylellina_ellipsospora,Lecophagus_sp,Orbilia_vinosa","0.353101, 0.205729, 0.186950, 0.056076, 0.035152, 0.026553, 0.026171, 0.019735, 0.019440, 0.019413, 0.015312",OTU83,
H12_Otu218,H12,Otu218,Ascomycota,Ascomycota,Orbiliomycetes,Orbiliomycetes,Orbiliales,Orbiliales,Orbiliaceae,Orbiliaceae,Arthrobotrys,"Arthrobotrys,Dactylellina,Drechslerella,Orbilia","Dactylellina_haptotyla,Arthrobotrys_elegans,Arthrobotrys_gephyropaga,Arthrobotrys_pyriformis,Arthrobotrys_superba,Drechslerella_dactyloides,Drechslerella_brochopaga,Dactylellina_ellipsospora,Orbilia_auricolor,Orbilia_vinosa,Arthrobotrys_conoides","0.524285, 0.102699, 0.081219, 0.071269, 0.030285, 0.028472, 0.025715, 0.010901, 0.010127, 0.009010, 0.004554",OTU82,
H12_Otu219,H12,Otu219,Ascomycota,Ascomycota,Lecanoromycetes,Lecanoromycetes,Lecanorales,Lecanorales,Rhizocarpaceae,Rhizocarpaceae,Rhizocarpon,Rhizocarpon,Rhizocarpon_disporum,"0.072684, 0.035083, 0.033974, 0.033896, 0.029879, 0.029678, 0.029678, 0.029678, 0.029678, 0.029678, 0.024446",OTU693,
H12_Otu221,H12,Otu221,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,-,-,Pseudochaetosphaeronema,Pseudochaetosphaeronema,Pseudochaetosphaeronema_larense,"0.270392, 0.227608, 0.219044, 0.126079, 0.051296, 0.035473, 0.016199, 0.014928",OTU586,
H12_Otu225,H12,Otu225,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN43,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum_1,Rachicladosporium_mcmurdoi,Rachicladosporium_inconspicuum,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Dothideomycetes_sp_TRN42,Cladosporium_allicinum","0.096055, 0.085357, 0.078880, 0.061391, 0.060362, 0.059749, 0.053241, 0.052968, 0.052768, 0.044118, 0.029879",OTU588,
H12_Otu229,H12,Otu229,Ascomycota,Ascomycota,Arthoniomycetes,Arthoniomycetes,Arthoniales,Arthoniales,Roccellaceae,"Roccellaceae,Roccellographaceae,Chrysotrichaceae,Lecanographaceae",Roccella,"Roccella,Combea,Roccellographa,Simonyella,Opegrapha,Chrysothrix,Alyxoria","Roccella_montagnei,Roccella_fuciformis,Roccella_canariensis,Combea_mollusca,Roccellographa_cretacea,Simonyella_variegata,Roccella_tuberculata,Roccella_boergesenii,Opegrapha_dolomitica,Chrysothrix_caesia,Alyxoria_varia","0.112178, 0.111794, 0.111536, 0.080629, 0.079738, 0.079738, 0.079738, 0.079735, 0.079731, 0.008148, 0.008037",OTU440,
H12_Otu248,H12,Otu248,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Piedraiaceae,Piedraiaceae,Piedraia,Piedraia,Piedraia_hortae,"0.444261, 0.037977, 0.037254, 0.037240, 0.024929, 0.024839, 0.024449, 0.022076, 0.021569, 0.019827, 0.018015",OTU1117,
